,national_inv,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
884731,61.0,14.0,45.0,86.0,4.0,42.0,107.0,156.0,0,0.0,0.98,0.97,0,0,0,1,0,0
869075,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.63,0.63,1,0,0,1,0,0
446975,6.0,1.0,6.0,12.0,0.0,4.0,10.0,14.0,0,0.0,0.86,0.91,0,0,0,1,0,0
908208,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0,0.0,-99.0,-99.0,1,0,1,1,0,0
1578368,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.63,0.72,0,0,0,1,0,0
119862,7.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0,0.0,1.0,0.86,1,0,0,1,0,0
378030,127.0,60.0,171.0,270.0,26.0,99.0,228.0,371.0,0,0.0,0.99,0.97,0,0,0,1,0,0
1440699,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0.99,0,0,0,1,0,0
508639,193.0,0.0,0.0,0.0,6.0,6.0,7.0,7.0,0,0.0,0.95,0.86,0,0,0,1,0,0
377761,152.0,0.0,19.0,38.0,2.0,18.0,39.0,88.0,0,0.0,0.7,0.86,0,0,0,1,0,0
865075,29.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0,0.0,0.86,0.94,0,0,1,1,0,0
1139558,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7,0.66,0,0,0,1,0,0
308497,0.0,2.0,3.0,5.0,2.0,2.0,3.0,4.0,0,0.0,0.8,0.82,0,0,0,1,0,0
1034106,19.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0,0.0,0.91,0.74,1,0,0,1,0,0
1252929,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.98,0,0,0,1,0,0
1556012,6.0,9.0,18.0,21.0,2.0,4.0,12.0,21.0,0,0.0,0.99,0.98,0,0,0,1,0,0
1443826,2.0,1.0,3.0,4.0,1.0,2.0,3.0,5.0,0,0.0,0.97,0.97,0,0,0,1,0,0
1416147,31.0,1.0,25.0,49.0,0.0,10.0,17.0,27.0,0,0.0,0.8,0.75,0,0,0,1,0,0
1001873,21.0,0.0,15.0,30.0,6.0,14.0,41.0,61.0,0,0.0,0.99,0.97,0,0,0,1,0,0
1446955,0.0,7.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0.0,0.8,0.82,0,0,1,1,0,0
1086491,1238.0,0.0,720.0,960.0,217.0,1439.0,2882.0,5552.0,0,0.0,0.61,0.66,0,0,0,1,0,0
1110018,37.0,0.0,0.0,0.0,3.0,8.0,10.0,12.0,0,0.0,1.0,1.0,1,0,0,1,0,0
926704,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.95,0.86,0,0,1,1,0,0
553200,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-99.0,-99.0,0,0,0,1,0,0
809220,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7,0.66,0,0,0,1,0,0
145849,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7,0.66,0,0,0,1,0,0
1487112,4.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.99,1,0,0,1,0,0
1548112,12.0,30.0,30.0,30.0,2.0,9.0,14.0,24.0,0,0.0,0.53,0.72,0,0,0,1,0,0
1507896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-99.0,-99.0,0,0,0,1,0,0
1179984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.96,0.96,1,0,0,0,0,0
838467,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8,0.8,0,0,0,1,0,0
1482597,8.0,15.0,30.0,45.0,7.0,20.0,34.0,46.0,0,0.0,0.98,0.98,0,0,0,1,0,0
529132,14.0,0.0,50.0,100.0,11.0,28.0,55.0,81.0,0,0.0,0.97,0.97,0,0,1,1,0,0
662503,10.0,0.0,5.0,5.0,0.0,2.0,5.0,12.0,0,0.0,0.94,0.97,0,0,0,1,0,0
400647,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.74,0.76,0,0,0,1,0,0
1369867,68.0,48.0,72.0,96.0,12.0,39.0,84.0,127.0,0,0.0,1.0,0.99,0,0,0,1,0,0
655507,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.64,0.39,1,0,0,1,0,0
1011536,438.0,348.0,768.0,956.0,111.0,337.0,698.0,1082.0,0,0.0,0.79,0.83,0,0,0,1,0,0
11797,91.0,0.0,0.0,20.0,2.0,18.0,31.0,137.0,0,0.0,1.0,0.94,0,0,0,1,0,0
178280,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.62,0.73,0,0,0,1,0,0
1319336,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.81,0.85,0,0,0,1,0,0
1653722,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.73,0.78,1,0,0,1,0,0
1325871,0.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,0,0.0,0.42,0.36,0,0,1,1,0,0
255515,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.96,0.97,0,0,0,1,0,0
507315,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.88,0.91,1,0,0,1,0,0
575920,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.82,0.81,0,0,1,1,0,0
318084,600.0,268.0,612.0,956.0,100.0,363.0,701.0,1032.0,0,0.0,0.79,0.83,0,0,0,1,0,0
246826,132.0,0.0,0.0,0.0,3.0,10.0,15.0,22.0,0,0.0,0.84,0.86,0,0,0,1,0,0
230690,8396.0,0.0,0.0,0.0,90.0,293.0,606.0,940.0,0,0.0,-99.0,-99.0,1,0,0,1,0,0
443187,12.0,12.0,30.0,36.0,4.0,9.0,20.0,27.0,0,0.0,0.98,0.99,0,0,0,1,0,0
108027,11.0,3.0,9.0,18.0,3.0,16.0,23.0,34.0,0,0.0,0.68,0.64,0,0,0,1,0,0
1136371,12206.0,6160.0,18480.0,27720.0,2610.0,6219.0,12451.0,19744.0,0,0.0,0.95,0.94,0,0,0,1,0,0
925573,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0,0.0,-99.0,-99.0,1,0,0,1,0,0
331455,3.0,0.0,2.0,3.0,0.0,0.0,2.0,5.0,0,0.0,0.99,0.96,0,0,1,1,0,0
1596841,16.0,0.0,0.0,0.0,2.0,5.0,8.0,10.0,0,0.0,0.99,0.96,0,0,0,1,0,0
1553131,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.78,0.78,0,0,0,1,0,0
872759,3.0,2.0,6.0,8.0,2.0,4.0,10.0,12.0,0,0.0,0.98,0.99,0,0,0,1,0,0
959703,16.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0,0.0,0.95,0.97,1,0,0,1,0,0
877852,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.99,0.98,0,0,0,1,0,0
571190,613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.86,0.84,0,0,0,1,0,0
893879,35.0,0.0,50.0,50.0,2.0,13.0,32.0,42.0,0,0.0,0.88,0.91,0,0,0,1,0,0
228024,44.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.68,0.64,0,0,1,1,0,0
1668612,203.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0,0.0,-99.0,-99.0,0,0,0,1,0,0
680129,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0.78,0.76,1,0,0,1,0,0
389454,83.0,0.0,0.0,0.0,3.0,7.0,14.0,26.0,0,0.0,1.0,0.98,0,0,0,1,0,0
1422782,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.57,0.7,0,0,0,1,0,0
532098,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.82,0.84,0,0,0,1,0,0
548832,42.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0,0.0,-99.0,-99.0,1,0,0,1,0,0
1353646,181.0,283.0,283.0,283.0,36.0,100.0,207.0,392.0,0,0.0,0.91,0.94,0,0,0,1,0,0
1512239,2.0,1.0,2.0,3.0,0.0,1.0,2.0,5.0,0,1.0,0.42,0.36,0,0,0,1,0,0
1460771,4.0,15.0,22.0,30.0,2.0,11.0,13.0,13.0,0,0.0,0.61,0.58,0,0,0,1,0,0
1097851,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-99.0,-99.0,1,0,0,1,0,0
1621626,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.73,0.78,0,0,0,1,0,0
294880,1.0,3.0,4.0,7.0,2.0,3.0,7.0,11.0,0,0.0,1.0,0.99,1,0,0,0,0,0
782305,2275.0,7680.0,12480.0,13920.0,563.0,1795.0,4675.0,11653.0,0,0.0,0.77,0.82,0,0,0,1,0,0
1479505,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.64,0.68,1,0,0,1,0,0
85041,13.0,9.0,18.0,27.0,1.0,36.0,39.0,40.0,0,0.0,0.97,0.95,0,0,0,1,0,0
1002789,0.0,4.0,4.0,5.0,0.0,1.0,3.0,3.0,0,1.0,0.68,0.66,0,0,0,1,0,0
1045511,1.0,97.0,157.0,197.0,12.0,80.0,124.0,185.0,0,0.0,0.81,0.67,0,0,0,1,0,0
102033,328.0,787.0,1503.0,2261.0,253.0,867.0,1464.0,2116.0,0,0.0,1.0,0.99,0,0,0,1,0,0
376283,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.73,0.78,0,0,0,1,0,0
1525785,330.0,702.0,1444.0,2208.0,255.0,819.0,1360.0,1972.0,0,0.0,0.92,0.95,0,0,0,1,0,0
477846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.7,0.78,0,0,1,1,0,0
81351,9.0,0.0,0.0,0.0,1.0,2.0,3.0,10.0,0,0.0,0.98,0.99,0,0,0,1,0,0
1134668,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.99,0.97,0,0,0,1,0,0
809605,40.0,0.0,0.0,0.0,0.0,10.0,10.0,11.0,0,0.0,0.83,0.69,0,0,0,1,0,0
646570,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.82,0.81,0,0,1,1,0,0
210118,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.96,0.96,0,0,0,1,0,0
409198,5055.0,0.0,0.0,0.0,0.0,15.0,25.0,35.0,0,0.0,0.79,0.66,0,0,0,1,0,0
162447,618.0,2420.0,4086.0,5850.0,0.0,0.0,0.0,0.0,0,0.0,0.91,0.94,0,0,0,1,0,0
1406134,134.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0,0.0,0.99,0.99,1,0,0,1,0,0
557114,152.0,184.0,364.0,562.0,57.0,189.0,360.0,562.0,0,0.0,0.97,0.98,0,0,0,1,0,0
1283577,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.99,0,0,0,1,0,0
700644,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.96,0.96,1,0,1,1,0,0
1605124,40.0,0.0,0.0,0.0,3.0,7.0,9.0,13.0,0,0.0,0.68,0.64,0,0,0,1,0,0
1260503,16.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,0,0.0,0.83,0.8,0,0,0,1,0,0
1140605,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.96,0.97,0,0,1,1,0,0
